2026-06-30 20:18:20 | INFO     | app:3 | 🎬 [MASTER] Hệ thống Logger toàn cục theo phiên đã kích hoạt!
2026-06-30 20:18:23 | INFO     | app:78 | ==================================================
2026-06-30 20:18:23 | INFO     | app:79 |  🌟 Face Recognition Attendance System (Flask + FastAPI)
2026-06-30 20:18:23 | INFO     | app:80 | ==================================================
2026-06-30 20:18:23 | INFO     | app:70 | 🚀 Đang khởi động hệ thống...
2026-06-30 20:18:23 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-06-30 20:18:23 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-06-30 20:18:23 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-06-30 20:18:23 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-06-30 20:18:23 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-30 20:18:23 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.90.11:8000
2026-06-30 20:18:23 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-30 20:18:26 | INFO     | app:101 |  🚀 Đang chạy Server tại: http://localhost:5000
2026-06-30 20:18:26 | DEBUG    | proactor_events:634 | Using proactor: IocpProactor
2026-06-30 20:18:26 | INFO     | websocket_service:48 | 🛸 [MASTER] Trạm thu thập AI đã mở tại cổng 5558, chờ Worker ném data tới...
2026-06-30 20:18:33 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-06-30 20:18:33 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-06-30 20:18:33 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-06-30 20:18:33 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-06-30 20:18:33 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-30 20:18:43 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-06-30 20:18:43 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-06-30 20:18:43 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
2026-06-30 20:18:43 | INFO     | server_yolo_service:154 | [❌] Không có server nào đang rảnh để chia...
2026-06-30 20:18:48 | DEBUG    | connectionpool:241 | Starting new HTTP connection (1): 10.40.91.141:5100
2026-06-30 20:18:53 | DEBUG    | camRepository:170 | file E:\FullStack_developer\projects\camera\Backend\master-node\state.json
2026-06-30 20:18:53 | INFO     | camRepository:178 | Đã lấy được 51 camera đang pending.
2026-06-30 20:18:53 | DEBUG    | server_yolo_service:149 | [🔄] Phát hiện 51 Camera bơ vơ. Bắt đầu chia lại bài...
